Recipe,Ingredients,Procedure
Marinated Beef Pot Roast,"3 pounds roast, trimmed. 2 tablespoons oil Flour and water paste, optional 1 cup tomato juice 3 tablespoons mustard, prepared 4 tablespoons worcestershire sauce 1 teaspoon basil 1 teaspoon oregano 1 teaspoon onion powder 1 teaspoon garlic salt 1/4 teaspoon fresh ground black pepper ",Combine marinade ingredients and pour over roast in a shallow bowl. Cover and refrigerate overnight or for 24 hrs. Remove meat from marinade and pat dry with paper towels. Heat oil in large skillet and brown meat on all sides. Place in cooker. Cover and cook on LOW 8-10 hrs. serve with accumulated gravy. (This may be thickened in a saucepan with flour and water paste if you wish.) 
Ham And Scalloped Potatoes,"8 slices Of ham 10 medium Potatoes, thinly sliced 1 cup Grated Cheddar 2 Onions, thinly sliced 1 can Cream of mushroom soup Paprika Salt and pepper to taste Ham And Scalloped Potatoes ","Toss sliced potatoes in 1/2 teaspoon cream of tartar and 1 cup water. Drain. Put half of ham, potatoes, and onions in crockpot. Sprinkle with salt and pepper, then grated cheese. Repeat with remaining half. Spoon undiluted soup over top. Sprinkle with paprika. Cover and cook on low 8 to 10 hours. (High: 4 hours). "
Crockpot Corn,1 large Bag frozen corn 8 ounces Pkg. cream cheese 1 Stick margarine Salt and pepper to taste Crockpot Corn ,"Melt cream cheese and margarine in microwave. Spray crockpot with vegetable spray. Put melted cream cheese and margarine in crockpot. Add corn, salt and pepper. Cook in crockpot for two hours on low. "
Coca-Cola Pot Roast,"3 pounds Beef 2 tablespoons Oil 1 can Tomatoes 1 cup Coca—Cola 1 each Onions, chopped 1 package Spaghetti sauce mix 1-1/2 teaspoons Salt 1/2 teaspoon Garlic salt Coca-Cola Pot Roast ","Brown meat in oil for ten minutes on each side; remove to crockpot. Drain fat. Break up tomatoes in their juice; add remaining ingredients, stirring until spaghetti sauce mix is dissolved. Pour over meat. Cover; simmer until meat is tender. Thicken gravy; serve over sliced meat. "
Antipasto,"1/2 Pound sliced Genoa salami 1 slicing tomato 1 large white onion 2 roasted red bell peppers 1 Pound sliced provolone 2 cans black pitted olives 1 can baby corn on the cob 1 small jar of Pepperoncini peppers 2 stalks of celery 1 can of rolled anchovies extra virgin olive oil Use a long platter, and arrange in the following order: Antipasto ","Salami, provolone, tomato, onion, red peppers, and achovies. Put the baby corns and olives in the center of tray. Take and cut in half celery sticks. Then slice each again length wise. Arrange celery sticks in between each antipasti. Sprinkle some salt lightly on everything. Then drizzle olive oil on everything. Let the antipasti sit covered in the refrigerator till ready to serve. Sitting helps enhance the flavors. "
Sweet & Sour Chicken,"1 each Carrot, cut in pieces 1 each Green pepper, cut in pieces 1 each Onion, quartered 2 tablespoons Tapioca, quick—cooking 4 each chicken breast, cut 8 ounces pineapple chunks in juice, canned un 1/3 cup Dark brown sugar, firmly pa 1/3 cup Red wine vinegar 1 tablespoon Soy sauce 1 teaspoon Chicken bouillon, instant g 1/2 teaspoon Garlic powder 2 tablespoons ginger root, minced 1 teaspoon cilantro, dried Fresh cilantro Rice, hot cooked ",Put vegetables.in bottom of crockpot. Sprinkle tapioca over vegetables. Place chicken on top of vegetables. Combine all other ingredients except rice in a small bowl. Pour over chicken. Cover crockpot and turn to low and cook for 8-10 hours. Before serving make rice. Serve over rice. Leftovers can be reheated in microwave. 
Pasta Dough,8 eggs 2 tsp. salt 4 cups all purpose flour Pasta Dough ,"In a large bowl, combine eggs & salt. Beat well. Add flour, 1 cup at a time until dough sticks together but is still soft. Spread flour on a board, knead dough for 15-20 minutes. Cover and let stand in a warm place for about 1 hour. Knead for another 5 minutes. Flatten small amounts of dough to form a 2"" x 2"" square. Coat square in flour and repeatedly run through pasta machine until desired thickness is obtained, or use rolling pin. Cut paste shape using pasta machine or slice desired shape by hand. Lay out cut pasta on table covered with a table cloth until dry. Pack in plastic bags and store in a cool place. Cook pasta in boiling salted water until tender. Homemade pasta usually takes less time to cook. Top with your favorite sauce. "
Super Easy Crockpot Roast,"1 beef roast, any kind 1 package dried brown gravy mix 1 package dried Italian salad dressingmix 1 package dried ranch dressing mix 1/2 cup water ",Place beef roast in crockpot. Combine the driedmixes together in a bowl and sprinkle over the roast. Pour the wateraround the roast. Cook on low for 7-9 hours. 
Grilled Key Lime Chicken,"3 pounds Chicken breasts; boneless, skinless 1 cup Key lime juice 1 tablespoon Honey 3/4 cup Water 1/2 teaspoon Fresh ground black pepper 1/2 teaspoon Ground thyme 2 tablespoons Vegetable oil 1 tablespoon Fresh ginger; peel, grated Grilled Key Lime Chicken ","Combine all ingredients except chicken in blender or food processor. Process until combined well. Pour over chicken. Cover and let marinate in the refrigerator overnight. Grill over hot coals, turning once, until done. Garnish with cilantro and lime slices. "
Shrimp On The Barbie,"12 Giant Prawns, shelled and heads and tails intact 1/4 cup Butter 1 cup Orange juice (freshly, squeezed) 2 tablespoons Sherry 1 teaspoon Orange Zest (grated) 2 each Green onions, tops and white 1 teaspoon Ginger root, (freshly grated) ","Soak a dozen long wooden skewers in water for 30 minutes. Then push skewers through prawns, lengthwise, from head to tail with only 1 toa skewer. Combine all ingredients in saucepan and cook over medium to low heat, stirring, until butter is completely melted. Dip skewered prawns in the orange sauce and position on oiled grill rack about 4 inches above the coals. Baste liberally with sauce and grill for 2 minutes. Turn the prawn over and baste again, cooking for another 2 minutes. Smaller prawn will be done at this point, but continue basting and turning larger prawn until they are pink and cooked through. Remove from heat immediately when done, as they will get tough if overcooked. Use any remaining sauce for a dip for the prawns. "
