Book Name,Author,Image Link,Rating,Customer Rating,Price
The Psychology of Money,Morgan Housel,"https://images-eu.ssl-images-amazon.com/images/I/71g2ednj0JL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"35,766",₹248.00
Atomic Habits: The life-changing million copy bestseller,James Clear,"https://images-eu.ssl-images-amazon.com/images/I/91bYsX41DVL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"43,679",₹520.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"52,879",₹399.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,"https://images-eu.ssl-images-amazon.com/images/I/81l3rZK4lnL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"32,628",₹356.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for childre",Sudha Murty,"https://images-eu.ssl-images-amazon.com/images/I/81jv44QdNwL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"14,058",₹163.00
Word Power Made Easy,Norman Lewis,"https://images-eu.ssl-images-amazon.com/images/I/818e+fq7+BL._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,"38,097",₹129.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,"https://images-eu.ssl-images-amazon.com/images/I/81bsw6fnUiL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"61,284",₹302.00
"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,"https://images-eu.ssl-images-amazon.com/images/I/81+iwx4WZxL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"8,338",₹541.00
You Can Compound,Vivek Mashrani,"https://images-eu.ssl-images-amazon.com/images/I/61txp0yS34L._AC_UL302_SR302,200_.jpg",5.0 out of 5 stars,6,₹499.00
The Power of Your Subconscious Mind,Joseph Murphy,"https://images-eu.ssl-images-amazon.com/images/I/71sBtM3Yi5L._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"53,389",₹125.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,"https://images-eu.ssl-images-amazon.com/images/I/81N7FmJhbhL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"15,457",₹150.00
It Ends With Us: A Novel: Volume 1,Colleen Hoover,"https://images-eu.ssl-images-amazon.com/images/I/71EwoNQypZL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"78,501",₹280.00
27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition,Mrunal Patel,"https://images-eu.ssl-images-amazon.com/images/I/81GHhVy+P8L._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"2,193",₹335.00
The Alchemist,Paulo Coelho,"https://images-eu.ssl-images-amazon.com/images/I/71aFt4+OTOL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"79,274",₹227.00
GKP Physics Galaxy JEE MAIN Chapter-wise solutions PHYSICS 58 Papers 2017-2021,Ashish Arora,"https://images-eu.ssl-images-amazon.com/images/I/81til12EXHL._AC_UL302_SR302,200_.jpg",5.0 out of 5 stars,5,₹499.00
Principles of Indian Geography (English | 1st Edition) For UPSC CSE Prelims & Mains by Study IQ,StudyIQ Publications,"https://images-eu.ssl-images-amazon.com/images/I/912f1NEsVJL._AC_UL302_SR302,200_.jpg",-1,0,₹450.00
The Magicians of Mazda,Ashwin Sanghi,"https://images-eu.ssl-images-amazon.com/images/I/71fU-w9xCLL._AC_UL302_SR302,200_.jpg",4.9 out of 5 stars,22,₹264.00
How to Win Friends and Influence People,Dale Carnegie,"https://images-eu.ssl-images-amazon.com/images/I/618XGVFYlwL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"68,873",₹109.00
Concept of Physics by H.C Verma Part - I - Session 2022-23,H.C. Verma,"https://images-eu.ssl-images-amazon.com/images/I/91rasc9GEgL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"9,975",₹401.00
108 Panchatantra Stories (Illustrated) for children,Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/71rmxx8P2qL._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,"1,488",₹95.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,"https://images-eu.ssl-images-amazon.com/images/I/81IR4C5PU5L._AC_UL302_SR302,200_.jpg",4.3 out of 5 stars,"4,499",₹249.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,"https://images-eu.ssl-images-amazon.com/images/I/713PolAKv8L._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,"25,276",₹449.00
Mathematics for Class 10 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,"https://images-eu.ssl-images-amazon.com/images/I/919cm5f7WsL._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,297,₹499.00
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writi,Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/810OOg88LoL._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,"17,663",₹89.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,"https://images-eu.ssl-images-amazon.com/images/I/710jnzKlDTL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"17,764",₹149.00
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Ki",Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/71xWWxjzF7L._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,"4,128",₹215.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,"https://images-eu.ssl-images-amazon.com/images/I/81CxXmRFnBL._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,"4,013",₹499.00
